,CISS_EA_GDPW,CLIFS_RO,DFM
1,0.0274,0.1385,61.8082229
2,0.0298,0.331,61.39489748
3,0.0384,0.2299,62.17344537
4,0.03,0.1461,62.22176139
5,0.0327,0.0959,61.51893457
6,0.0482,0.06,62.2430373
7,0.027,0.0932,62.96051247
8,0.0247,0.0707,63.55907482
9,0.0254,0.0577,63.61231204
10,0.0318,0.06,64.08917278
11,0.0571,0.0407,64.73093681
12,0.0371,0.0244,65.48264766
13,0.0403,0.0853,65.4654943
14,0.0354,0.1046,65.88907248
15,0.0609,0.0739,65.90502024
16,0.0603,0.1222,66.59862892
17,0.0832,0.129,67.30092518
18,0.0868,0.1043,67.65487957
19,0.0916,0.0876,68.09462606
20,0.0668,0.0656,68.53017841
21,0.0716,0.0482,69.10089162
22,0.0764,0.0281,69.61569134
23,0.0734,0.1075,70.04942831
24,0.0516,0.1414,71.76328437
25,0.0578,0.0819,70.37760547
26,0.0501,0.0817,72.19791355
27,0.0556,0.0975,72.96893301
28,0.0573,0.1157,72.63688869
29,0.0682,0.1124,73.41618398
30,0.1005,0.1117,73.50404824
31,0.1475,0.1272,74.22222735
32,0.2287,0.0986,74.64882838
33,0.2445,0.0524,74.8218155
34,0.2571,0.0398,75.62221062
35,0.2788,0.1563,76.17711099
36,0.2589,0.1505,77.36907259
37,0.3318,0.3684,76.84778676
38,0.4245,0.2655,77.57504925
39,0.4711,0.2377,77.45898138
40,0.4572,0.2162,78.49606589
41,0.4599,0.1839,78.91566336
42,0.4272,0.1101,79.52327376
43,0.3641,0.1982,79.2990638
44,0.3029,0.1157,79.38524393
45,0.4244,0.2081,79.41417963
46,0.5227,0.4198,78.91287083
47,0.4804,0.3304,77.15317776
48,0.4554,0.2234,75.15794539
49,0.439,0.4663,74.75380963
50,0.4247,0.4429,73.99103096
51,0.4412,0.4659,73.19096371
52,0.3563,0.4548,73.09638732
53,0.3696,0.3312,72.95896118
54,0.359,0.3069,72.81933011
55,0.2748,0.2667,73.05413196
56,0.2788,0.2573,72.76871639
57,0.2107,0.215,72.82096203
58,0.225,0.2459,72.75358163
59,0.185,0.2325,72.391659
60,0.2006,0.2283,72.39375526
61,0.1748,0.2971,72.28040075
62,0.1642,0.2383,72.56456911
63,0.1585,0.2182,73.35219865
64,0.1647,0.2293,72.72215971
65,0.2695,0.2578,72.67262494
66,0.3074,0.2575,73.35957012
67,0.3017,0.2415,71.79818215
68,0.2839,0.163,71.83749925
69,0.2948,0.0879,72.51943694
